ID	2002
NAME	FIRE-Charizard
ELO	2123.498263
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				   7  14  20   5   4   3   0   4   2   4   8   7   8
1001	GRASS-DrainVenu                    2   1   3   1   0   0   0   0   0   0   1   1   2
1002	GRASS-GoldBok                      2   2   1   2   1   1   0   0   0   1   0   0   0
1003	GRASS-NidoKing                     0   0   0   0   0   0   0   0   0   0   0   0   0
2001	FIRE-Ninetail                      0   0   3   0   0   0   0   3   0   0   3   0   1
2003	FIRE-Windy                         0   1   0   0   1   0   0   1   0   1   0   1   0
3001	WATER-EnergyBurn                   1   2   1   0   0   0   0   0   1   1   2   2   0
3002	WATER-Blast                        0   1   1   0   0   0   0   0   0   1   1   1   0
4001	LIGHTNING-Zapdo                    0   0   1   0   1   0   0   0   1   0   0   1   1
4002	LIGHTNING-Chain                    0   0   0   0   0   0   0   0   0   0   0   0   0
5001	FIGHT-Monkey                       0   1   1   2   0   0   0   0   0   0   0   0   1
5002	FIGHT-Wiggle                       1   2   4   0   0   0   0   0   0   0   1   1   1
5003	FIGHT-Bone                         1   1   1   0   0   0   0   0   0   0   0   0   2
6001	PSYCHIC-Nasi                       0   2   3   0   0   0   0   0   0   0   0   0   0
6002	PSYCHIC-AntiCarry                  0   0   0   0   0   0   0   0   0   0   0   0   0
6003	PSYCHIC-Abra                       0   1   1   0   1   2   0   0   0   0   0   0   0
