Year,Month,Date,Hour,Minute,WinerID,LoserID,Result,WinnerWin,Draw,LoserWin,Before_Winner,Before_Loser,Delta,After_Winner,After_Loser
2020,11,4,2,49,2001,2002,4,1,0,0,2000.00,2000.00,9.75,2009.75,1990.25
2020,11,4,2,49,2001,2002,4,2,0,0,2009.75,1990.25,9.53,2019.28,1980.72
2020,11,4,2,49,2002,2001,4,1,0,2,1980.72,2019.28,10.18,1990.90,2009.10
2020,11,4,2,49,2001,2002,1,3,0,1,2009.10,1990.90,7.34,2016.44,1983.56
2020,11,4,2,49,2002,2001,4,2,0,3,1983.56,2016.44,10.12,1993.68,2006.33
2020,11,4,2,51,3001,2002,2,1,0,0,2047.30,1993.68,7.74,2055.05,1985.94
2020,11,4,2,51,2002,3001,4,1,0,1,1985.94,2055.05,10.52,1996.46,2044.52
2020,11,4,2,51,3001,2002,4,2,0,1,2044.52,1996.46,9.21,2053.73,1987.25
2020,11,4,2,51,3001,2002,5,3,0,1,2053.73,1987.25,9.70,2063.43,1977.55
2020,11,4,2,51,2002,3001,6,2,0,3,1977.55,2063.43,12.36,1989.91,2051.07
2020,11,4,2,51,2002,1001,4,1,0,0,1989.91,2016.48,10.05,1999.96,2006.43
2020,11,4,2,51,2002,1001,4,2,0,0,1999.96,2006.43,9.82,2009.79,1996.61
2020,11,4,2,51,2002,1001,4,3,0,0,2009.79,1996.61,9.60,2019.39,1987.01
2020,11,4,2,51,1001,2002,6,1,0,3,1987.01,2019.39,11.67,1998.68,2007.72
2020,11,4,2,51,2002,1001,6,4,0,1,2007.72,1998.68,11.13,2018.85,1987.54
2020,11,4,2,51,2002,1001,6,5,0,1,2018.85,1987.54,10.84,2029.70,1976.70
2020,11,5,23,21,2002,5002,4,1,0,0,2029.70,2027.40,9.72,2039.43,2017.67
2020,11,5,23,22,2002,5002,5,2,0,0,2039.43,2017.67,10.24,2049.66,2007.43
2020,11,5,23,26,2002,5002,4,3,0,0,2049.66,2007.43,9.28,2058.94,1998.16
2020,11,5,23,27,5002,2002,6,1,0,3,1998.16,2058.94,12.04,2010.19,2046.90
2020,11,5,23,31,2002,5002,5,4,0,1,2046.90,2010.19,10.06,2056.96,2000.14
2020,11,8,23,16,2002,1002,6,1,0,0,2056.96,2010.57,10.65,2067.61,1999.92
2020,11,8,23,23,1002,2002,3,1,0,1,1999.92,2067.61,9.70,2009.62,2057.91
2020,11,8,23,28,2002,1002,3,2,0,1,2057.91,2009.62,8.50,2066.41,2001.12
2020,11,8,23,31,2002,1002,5,3,0,1,2066.41,2001.12,9.71,2076.13,1991.41
2020,11,8,23,36,2002,1002,1,4,0,1,2076.13,1991.41,6.77,2082.90,1984.64
2020,11,10,1,31,2002,6001,4,1,0,0,2082.90,1894.33,7.67,2090.57,1886.67
2020,11,10,1,32,2002,6001,5,2,0,0,2090.57,1886.67,8.08,2098.65,1878.59
2020,11,10,1,37,2002,6001,5,3,0,0,2098.65,1878.59,7.90,2106.54,1870.69
2020,11,10,1,37,2002,6001,4,4,0,0,2106.54,1870.69,7.17,2113.71,1863.52
2020,11,10,1,37,2002,6001,4,5,0,0,2113.71,1863.52,7.02,2120.73,1856.51
2020,11,10,2,12,2002,5001,5,1,0,0,2120.73,1908.93,7.99,2128.72,1900.94
2020,11,10,2,15,2002,5001,3,2,0,0,2128.72,1900.94,6.69,2135.41,1894.25
2020,11,10,2,18,2002,5001,3,3,0,0,2135.41,1894.25,6.56,2141.98,1887.68
2020,11,10,2,19,2002,5001,4,4,0,0,2141.98,1887.68,6.97,2148.95,1880.71
2020,11,10,2,19,5001,2002,6,1,0,4,1880.71,2148.95,14.62,1895.33,2134.33
2020,11,15,19,15,3001,2002,3,4,0,2,2041.75,2134.33,9.96,2051.71,2124.38
2020,11,15,19,21,3001,2002,4,5,0,2,2051.71,2124.38,10.56,2062.27,2113.81
2020,11,15,19,22,2002,3001,5,3,0,5,2113.81,2062.27,9.88,2123.69,2052.39
2020,11,15,19,27,3001,2002,5,6,0,3,2052.39,2123.69,11.36,2063.76,2112.33
2020,11,15,19,30,2002,3001,5,4,0,6,2112.33,2063.76,9.91,2122.25,2053.84
2020,11,15,19,53,4001,2002,6,1,0,0,2049.35,2122.25,12.19,2061.55,2110.05
2020,11,15,19,55,2002,4001,2,1,0,1,2110.05,2061.55,7.79,2117.85,2053.76
2020,11,15,19,58,2002,4001,4,2,0,1,2117.85,2053.76,9.03,2126.88,2044.72
2020,11,15,20,3,4001,2002,2,2,0,2,2044.72,2126.88,9.03,2053.75,2117.85
2020,11,15,20,5,4001,2002,5,3,0,2,2053.75,2117.85,11.27,2065.03,2106.58
2020,11,22,1,2,5003,2002,6,1,0,0,1910.72,2106.58,13.74,1924.46,2092.83
2020,11,22,1,4,2002,5003,6,1,0,1,2092.83,1924.46,9.10,2101.93,1915.37
2020,11,22,1,8,2002,5003,4,2,0,1,2101.93,1915.37,7.69,2109.62,1907.68
