ID	3001
NAME	WATER-EnergyBurn
ELO	2096.938921
					  W6  W5  W4  W3  W2  W1   D  L1  L2  L3  L4  L5  L6
	Total				   8  17   8   6   2   1   0   1   2   1   6  11   7
1001	GRASS-DrainVenu                    1   0   0   1   0   0   0   0   0   0   1   1   1
1002	GRASS-GoldBok                      3   2   1   1   0   0   0   0   0   0   1   1   1
1003	GRASS-NidoKing                     0   0   0   0   0   0   0   0   0   0   0   0   0
2001	FIRE-Ninetail                      1   2   0   1   0   0   0   1   0   1   1   1   2
2002	FIRE-Charizard                     0   2   2   1   1   0   0   0   0   0   1   2   1
2003	FIRE-Windy                         0   0   0   1   0   0   0   0   1   0   2   1   0
3002	WATER-Blast                        0   0   0   0   0   0   0   0   0   0   0   0   0
4001	LIGHTNING-Zapdo                    1   1   0   0   0   0   0   0   0   0   0   3   0
4002	LIGHTNING-Chain                    0   0   0   0   0   0   0   0   0   0   0   0   0
5001	FIGHT-Monkey                       0   2   2   1   0   0   0   0   0   0   0   0   0
5002	FIGHT-Wiggle                       0   4   0   0   0   0   0   0   0   0   0   0   1
5003	FIGHT-Bone                         1   1   1   0   1   1   0   0   0   0   0   0   0
6001	PSYCHIC-Nasi                       1   2   0   0   0   0   0   0   0   0   0   2   0
6002	PSYCHIC-AntiCarry                  0   0   0   0   0   0   0   0   0   0   0   0   0
6003	PSYCHIC-Abra                       0   1   2   0   0   0   0   0   1   0   0   0   1
