16
1001  1933.70	43.96%	  16   9   8   3   2   2   0   0   1   6  10  15  19
1002  1910.79	40.00%	  10  11   8   5   1   1   0   4   4   8  11  18   9
1003  1872.39	38.18%	   3   4   6   4   3   1   0   1   1   3   2  14  13
2001  2377.83	83.33%	  13  29  13  10   3   7   0   1   1   1   5   4   3
2002  2123.50	61.63%	   7  14  20   5   4   3   0   4   2   4   8   7   8
2003  2294.07	85.45%	   5  17  13   5   3   4   0   0   1   1   1   5   0
3001  2117.54	60.00%	  10  21   8   8   3   1   0   1   2   1   6  15   9
3002  2075.24	61.82%	  12  12   5   3   1   1   0   0   1   2   5   6   7
4001  2164.75	66.00%	   3  22   5   1   2   0   0   1   2   0   7   4   3
4002  1945.29	43.64%	   8  11   0   3   0   2   0   1   4   4   5   8   9
5001  1856.70	36.67%	  17   8   2   2   2   2   0   0   3   7  11  22  14
5002  2062.79	54.44%	  24  11   7   2   3   2   0   0   1   4   7  23   6
5003  1788.27	20.00%	   5   1   1   3   0   0   0   4   1   2   9  12  12
6001  1838.70	32.86%	   4  10   3   3   3   0   0   2   3   2   9  20  11
6002  1761.08	21.82%	   2   5   4   0   1   0   0   3   3  10   5   9  13
6003  1877.92	36.36%	   4   6   6   2   2   0   0   4   3   4   8   9   7

